Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,Certainty.Level,Modification,Motivation,Last.Manual.Present.Natural.Modification,Number.Cells.Current.Range,Number.Cells.Present.Natural.Range,Change.In.Cells
Abditomys_latidens,Rodentia,Muridae,Abditomys,latidens,3) Merger of likely human caused disjunct ranges by filling intervening suitable habitats,Connected via ecoregion.,Disjunct range likely anthropogenic in cause.,Version 1.0,5,9,4
Abeomelomys_sevia,Rodentia,Muridae,Abeomelomys,sevia,0) Present Natural range identical to IUCN range,None,NA,NA,10,10,0
Abrawayaomys_ruschii,Rodentia,Cricetidae,Abrawayaomys,ruschii,0) Present Natural range identical to IUCN range,None,NA,NA,20,20,0
Abrocoma_bennettii,Rodentia,Abrocomidae,Abrocoma,bennettii,0) Present Natural range identical to IUCN range,None,NA,NA,28,28,0
Abrocoma_boliviensis,Rodentia,Abrocomidae,Abrocoma,boliviensis,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Abrocoma_budini,Rodentia,Abrocomidae,Abrocoma,budini,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Abrocoma_cinerea,Rodentia,Abrocomidae,Abrocoma,cinerea,0) Present Natural range identical to IUCN range,None,NA,NA,82,82,0
Abrocoma_famatina,Rodentia,Abrocomidae,Abrocoma,famatina,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Abrocoma_shistacea,Rodentia,Abrocomidae,Abrocoma,shistacea,0) Present Natural range identical to IUCN range,None,NA,NA,4,4,0
Abrocoma_uspallata,Rodentia,Abrocomidae,Abrocoma,uspallata,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Abrocoma_vaccarum,Rodentia,Abrocomidae,Abrocoma,vaccarum,0) Present Natural range identical to IUCN range,None,NA,NA,1,1,0
Abrothrix_andinus,Rodentia,Cricetidae,Abrothrix,andinus,0) Present Natural range identical to IUCN range,None,NA,NA,103,103,0
Abrothrix_illutea,Rodentia,Cricetidae,Abrothrix,illutea,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Abrothrix_jelskii,Rodentia,Cricetidae,Abrothrix,jelskii,0) Present Natural range identical to IUCN range,None,NA,NA,89,89,0
Abrothrix_lanosus,Rodentia,Cricetidae,Abrothrix,lanosus,0) Present Natural range identical to IUCN range,None,NA,NA,17,17,0
Abrothrix_longipilis,Rodentia,Cricetidae,Abrothrix,longipilis,0) Present Natural range identical to IUCN range,None,NA,NA,116,116,0
Abrothrix_olivaceus,Rodentia,Cricetidae,Abrothrix,olivaceus,0) Present Natural range identical to IUCN range,None,NA,NA,177,177,0
Abrothrix_sanborni,Rodentia,Cricetidae,Abrothrix,sanborni,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Acerodon_celebensis,Chiroptera,Pteropodidae,Acerodon,celebensis,0) Present Natural range identical to IUCN range,None,NA,NA,59,59,0
Acerodon_humilis,Chiroptera,Pteropodidae,Acerodon,humilis,0) Present Natural range identical to IUCN range,None,NA,NA,2,2,0
Acerodon_jubatus,Chiroptera,Pteropodidae,Acerodon,jubatus,"5) Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range",Range expanded to suitable areas on inhabited island.,"Expansion of ranges for species with known, or at least highly suspected, range declines to cover suitable areas contiguous with the current range.",Version 1.0,69,80,11
Acerodon_leucotis,Chiroptera,Pteropodidae,Acerodon,leucotis,0) Present Natural range identical to IUCN range,None,NA,NA,12,12,0
Acerodon_mackloti,Chiroptera,Pteropodidae,Acerodon,mackloti,0) Present Natural range identical to IUCN range,None,NA,NA,33,33,0
