Rank,Order.1.2,Family.1.2,Binomial.1.2,Diet,Mass
1,Cingulata,CingulataFam,Propraopus_sulcatus,Missing,Recorded
2,Cingulata,CingulataFam,Propraopus_punctatus,Missing,Recorded
3,Rodentia,Echimyidae,HexolobodontinaeGen_spA,Missing,Missing
4,Primates,Hominidae,Homo_spDenisova,Missing,Recorded
5,Rodentia,Echimyidae,Isothrix_orinoci,Missing,Missing
6,Eulipotyphla,Erinaceidae,Hylomys_megalotis,Missing,Recorded
7,Rodentia,Echimyidae,Pattonomys_punctatus,Recorded,Missing
8,Eulipotyphla,Talpidae,Scapanulus_oweni,Missing,Recorded
9,Rodentia,Echimyidae,Pattonomys_carrikeri,Recorded,Missing
10,Eulipotyphla,Soricidae,Blarinella_griselda,Missing,Recorded
11,Chiroptera,Vespertilionidae,Harpiola_isodon,Missing,Missing
12,Eulipotyphla,Soricidae,Blarinella_wardi,Missing,Recorded
13,Eulipotyphla,Soricidae,Blarinella_quadraticauda,Missing,Recorded
14,Rodentia,Echimyidae,Pattonomys_flavidus,Recorded,Missing
15,Chiroptera,Vespertilionidae,Scotoecus_pallidus,Recorded,Missing
16,Rodentia,Echimyidae,Quemisia_gravis,Missing,Recorded
17,Rodentia,Echimyidae,Xaymaca_fulvopulvis,Missing,Recorded
18,Rodentia,Echimyidae,Amblyrhiza_inundata,Missing,Recorded
19,Eulipotyphla,Soricidae,Surdisorex_schlitteri,Missing,Missing
20,Rodentia,Caviidae,Galea_comes,Missing,Missing
21,Rodentia,Caviidae,Neochoerus_aesopi,Missing,Recorded
22,Rodentia,Caviidae,Galea_leucoblephara,Missing,Missing
23,Macroscelidea,Macroscelididae,Macroscelides_flavicaudatus,Missing,Missing
24,Chiroptera,Mormoopidae,Pteronotus_mesoamericanus,Missing,Missing
25,Rodentia,Echimyidae,Isolobodon_portoricensis,Missing,Recorded
26,Rodentia,Echimyidae,Isolobodon_montanus,Missing,Recorded
27,Primates,Cebidae,Cebus_brunneus,Missing,Missing
28,Rodentia,Echimyidae,Hexolobodon_phenax,Missing,Recorded
29,Chiroptera,Molossidae,Molossops_aequatorianus,Recorded,Missing
30,Rodentia,Muridae,Pseudoberylmys_muongbangensis,Missing,Missing
31,Carnivora,Mephitidae,Brachyprotoma_obtusata,Missing,Recorded
32,Carnivora,Eupleridae,Eupleres_major,Missing,Missing
33,Rodentia,Echimyidae,Rhizoplagiodontia_lemkei,Missing,Recorded
34,Rodentia,Muridae,Dacnomys_millardi,Missing,Missing
35,Rodentia,Echimyidae,Isothrix_barbarabrownae,Missing,Recorded
36,Rodentia,Echimyidae,Isothrix_bistriata,Missing,Recorded
37,Rodentia,Echimyidae,Isothrix_pagurus,Missing,Recorded
38,Rodentia,Echimyidae,Isothrix_negrensis,Missing,Recorded
39,Peramelemorphia,Peramelidae,Peroryctes_spA,Missing,Missing
40,Rodentia,Echimyidae,Isothrix_sinnamariensis,Missing,Recorded
41,Carnivora,Mustelidae,Melogale_cucphuongensis,Missing,Missing
42,Chiroptera,Thyropteridae,Thyroptera_wynneae,Recorded,Missing
43,Perissodactyla,Equidae,Equus_ovodovi,Missing,Recorded
44,Rodentia,Muridae,Psammomys_vexillaris,Recorded,Missing
45,Macroscelidea,Macroscelididae,Macroscelides_micus,Missing,Recorded
46,Rodentia,Muridae,Saxatilomys_paulinae,Recorded,Missing
47,Chiroptera,Mormoopidae,Pteronotus_rubiginosus,Missing,Missing
48,Rodentia,Echimyidae,Plagiodontia_spelaeum,Missing,Recorded
49,Rodentia,Echimyidae,Plagiodontia_ipnaeum,Missing,Recorded
50,Rodentia,Heteromyidae,Chaetodipus_rudinoris,Recorded,Missing
51,Paucituberculata,Caenolestidae,Caenolestes_sangay,Missing,Missing
52,Rodentia,Echimyidae,Thrichomys_inermis,Missing,Recorded
53,Eulipotyphla,Nesophontidae,Nesophontes_spA,Missing,Recorded
54,Rodentia,Spalacidae,Spalax_uralensis,Recorded,Missing
55,Cetartiodactyla,Tayassuidae,Catagonus_stenocephalus,Missing,Missing
56,Cetartiodactyla,Cervidae,Morenelaphus_lujanensis,Missing,Recorded
57,Rodentia,Echimyidae,Mesomys_stimulax,Missing,Recorded
58,Rodentia,Muridae,Vandeleuria_nilagirica,Recorded,Missing
59,Rodentia,Echimyidae,Boromys_offella,Missing,Recorded
59,Rodentia,Echimyidae,Boromys_torrei,Missing,Recorded
61,Rodentia,Echimyidae,Brotomys_voratus,Missing,Recorded
62,Rodentia,Echimyidae,Heteropsomys_insulans,Missing,Recorded
63,Chiroptera,Phyllostomidae,Micronycteris_giovanniae,Missing,Missing
64,Chiroptera,Phyllostomidae,Micronycteris_buriri,Missing,Missing
